S21 dB20 X,S21 dB20 Y
4406666666.666677,-0.003139897764310788
4430000000.00001,-0.004066971351782338
4453333333.333343,-0.005103480690271428
4476666666.666676,-0.006245759374936011
4500000000.000009,-0.007490096018702102
4523333333.333342,-0.008832764027527758
4546666666.666675,-0.01027005178423931
4570000000.000008,-0.01179829311153455
4593333333.333341,-0.01341389789865674
4616666666.666674,-0.01511338278953749
4640000000.000007,-0.01689340184202487
4663333333.33334,-0.01875077707883072
4686666666.666673,-0.02068252886067288
4710000000.000006,-0.0226859060210614
4733333333.333339,-0.02475841571030412
4756666666.666672,-0.02689785290339718
4780000000.000005,-0.02910232953288883
4803333333.333338,-0.03137030321324976
4826666666.666671,-0.03370060552818512
4850000000.000004,-0.03609246985608121
4873333333.333337,-0.03854555871238426
4896666666.66667,-0.04105999058985534
4920000000.000003,-0.04363636627992258
4943333333.333336,-0.04627579465926314
4966666666.666669,-0.0489799179264413
4990000000.000002,-0.05175093627336694
5013333333.333335,-0.05459163197554139
5036666666.666668,-0.05750539288403182
5060000000.000001,-0.06049623529996272
5083333333.333334,-0.06356882621026209
5106666666.666667,-0.06672850486020664
5130000000,-0.06998130363508513
5153333333.333333,-0.07333396821927218
5176666666.666666,-0.07679397699669219
5199999999.999999,-0.08036955965183032
5223333333.333332,-0.08406971492521875
5246666666.666665,-0.0879042274717616
5269999999.999998,-0.0918836837642899
5293333333.333331,-0.09601948697857834
5316666666.666664,-0.1003238707894162
5339999999.999997,-0.1048099120008563
5363333333.33333,-0.1094915419266187
5386666666.666663,-0.1143835564299157
5409999999.999996,-0.1195016245248841
5433333333.333329,-0.1248622954347968
5456666666.666662,-0.1304830039955973
5479999999.999995,-0.136382074286491
5503333333.333328,-0.1425787213632397
5526666666.666661,-0.149093050963811
5549999999.999994,-0.1559460570507855
5573333333.333327,-0.1631596170501821
5596666666.66666,-0.1707564846425483
5619999999.999993,-0.178760279959218
5643333333.333326,-0.1871954770346377
5666666666.666659,-0.196087388365137
5689999999.999992,-0.2054621464251511
5713333333.333325,-0.2153466819941271
5736666666.666658,-0.2257686991513513
5759999999.999991,-0.2367566468016026
5783333333.333324,-0.2483396866023397
5806666666.666657,-0.2605476571730048
5829999999.99999,-0.2734110344791798
5853333333.333323,-0.2869608882987616
5876666666.666656,-0.3012288346943929
5899999999.99999,-0.3162469844357949
5923333333.333323,-0.3320478873377373
5946666666.666656,-0.3486644725039718
5969999999.999989,-0.3661299844946955
5993333333.333322,-0.3844779154646243
6016666666.666655,-0.4037419333508149
6039999999.999988,-0.4239558062233292
6063333333.333321,-0.4451533229480841
6086666666.666654,-0.4673682103487545
6109999999.999987,-0.4906340470936337
6133333333.33332,-0.5149841745733488
6156666666.666653,-0.540451605075563
6179999999.999986,-0.5670689276032723
6203333333.333319,-0.5948682117230241
6226666666.666652,-0.6238809098678313
6249999999.999985,-0.6541377585566412
6273333333.333318,-0.685668679026165
6296666666.666651,-0.7185026778026187
6319999999.999984,-0.7526677477680279
6343333333.333317,-0.7881907702991653
6366666666.66665,-0.8250974190753289
6389999999.999983,-0.8634120661637976
6413333333.333316,-0.9031576909983523
6436666666.666649,-0.9443557928666861
6459999999.999982,-0.9870263075155993
6483333333.333315,-1.031187528469534
6506666666.666648,-1.076856033637216
6529999999.999981,-1.12404661775329
6553333333.333314,-1.172772231167192
6576666666.666647,-1.223043925449984
6599999999.99998,-1.274870806242157
6623333333.333313,-1.32825999371178
6646666666.666646,-1.383216590934035
6669999999.999979,-1.439743660439897
6693333333.333312,-1.497842209115311
6716666666.666645,-1.557511181563376
6739999999.999978,-1.618747461970777
6763333333.333311,-1.681545884449122
6786666666.666644,-1.745899251750211
6809999999.999977,-1.811798362185439
6833333333.33331,-1.879232044512122
6856666666.666643,-1.948187200486048
6879999999.999976,-2.018648854720084
6903333333.333309,-2.090600211434268
6926666666.666642,-2.164022717633975
6949999999.999975,-2.238896132210276
6973333333.333308,-2.315198600420532
6996666666.666641,-2.392906733178557
7019999999.999974,-2.471995690561349
7043333333.333307,-2.552439268925056
7066666666.66664,-2.6342099910148
7089999999.999973,-2.717279198452351
7113333333.333306,-2.801617145990979
7136666666.666639,-2.887193096938816
7159999999.999972,-2.973975419169448
7183333333.333305,-3.061931681160771
7206666666.666638,-3.151028747530276
7229999999.999971,-3.241232873565867
7253333333.333304,-3.332509798285215
7276666666.666637,-3.424824835593344
7299999999.99997,-3.518142963147073
7323333333.333303,-3.612428908574123
7346666666.666636,-3.707647232736042
7369999999.999969,-3.803762409764348
7393333333.333302,-3.900738903639867
7416666666.666636,-3.998541241124783
7439999999.999969,-4.097134080895309
7463333333.333302,-4.196482278759635
7486666666.666635,-4.296550948880676
7509999999.999968,-4.397305520956109
7533333333.333301,-4.498711793338648
7556666666.666634,-4.600735982107562
7579999999.999967,-4.703344766128241
7603333333.3333,-4.806505328159441
7626666666.666633,-4.91018539208873
7649999999.999966,-5.014353256394335
7673333333.333299,-5.118977823947218
7696666666.666632,-5.224028628280849
7719999999.999965,-5.329475856466276
7743333333.333298,-5.435290368739697
7766666666.666631,-5.541443715036189
7789999999.999964,-5.647908148588073
7813333333.333297,-5.75465663675013
7836666666.66663,-5.861662869215126
7859999999.999963,-5.968901263783641
7883333333.333296,-6.076346969851478
7906666666.666629,-6.183975869775459
7929999999.999962,-6.291764578275988
7953333333.333295,-6.399690440030517
7976666666.666628,-6.507731525607925
8000000000,-6.615866625888874
