S11  X,S11  YRe,S11  YReImag
4220000000,1.99542851753165e-06,0.003236256722170836
4230000000,6.195794763907969e-07,0.001804764129044778
4240000000,2.695709100386523e-08,0.0003765810373352289
4250000000,2.089199997445945e-07,-0.001048252376643026
4260000000,1.16095889679535e-06,-0.002469696582123578
4270000000,2.882600368847577e-06,-0.003887712796012099
4280000000,5.377310823062587e-06,-0.00530226308125205
4290000000,8.652400554920447e-06,-0.006713310441516602
4300000000,1.271892800702723e-05,-0.00812081891232576
4310000000,1.759160425818251e-05,-0.009524753648672325
4320000000,2.328869779044673e-05,-0.01092508100925342
4330000000,2.983193957173391e-05,-0.01232176863738942
4340000000,3.724642849078919e-05,-0.01371478553871459
4350000000,4.556053718807185e-05,-0.01510410215572595
4360000000,5.480581830408227e-05,-0.01648969043926599
4370000000,6.501691118865338e-05,-0.0178715239170239
4380000000,7.623144909318924e-05,-0.01924957775912934
4390000000,8.848996688093358e-05,-0.02062382884091768
4400000000,0.0001018358092754745,-0.02199425580293621
4410000000,0.0001163150396747969,-0.02336083910827022
4420000000,0.0001319763495537529,-0.02472356109725376
4430000000,0.0001488709684782652,-0.02608240603963947
4440000000,0.0001670525747470286,-0.02743736018429277
4450000000,0.000186577206682248,-0.02878841180647769
4460000000,0.0002075031745869538,-0.03013555125279927
4470000000,0.000229890973379332,-0.03147877098386569
4480000000,0.000253803195925606,-0.03281806561473519
4490000000,0.00027930444707569,-0.03415343195320286
4500000000,0.0003064612584242621,-0.03548486903599178
4510000000,0.0003353420037977006,-0.0368123781629052
4520000000,0.0003660168154779875,-0.03813596292899562
4530000000,0.0003985575011753451,-0.0394556292548063
4540000000,0.0004330374617571575,-0.04077138541474049
4550000000,0.0004695316097294011,-0.04208324206361096
4560000000,0.0005081162884903456,-0.04339121226141845
4570000000,0.0005488691923449807,-0.04469531149641581
4580000000,0.0005918692872957099,-0.04599555770649909
4590000000,0.0006371967326035399,-0.04729197129898099
4600000000,0.0006849328031206525,-0.04858457516878599
4610000000,0.0007351598124023528,-0.0498733947151197
4620000000,0.0007879610365870704,-0.05115845785665153
4630000000,0.0008434206390519616,-0.05243979504525602
4640000000,0.0009016235958327901,-0.05371743927835416
4650000000,0.0009626556218174098,-0.05499142610989649
4660000000,0.001026603097694867,-0.05626179366002687
4670000000,0.001093552997667224,-0.05752858262346369
4680000000,0.00116359281791012,-0.05879183627663841
4690000000,0.001236810505788055,-0.06005160048362988
4700000000,0.001313294389802877,-0.06130792370092073
4710000000,0.001393133110281441,-0.06256085698102004
4720000000,0.001476415550787591,-0.06381045397498131
4730000000,0.001563230770255331,-0.06505677093384284
4740000000,0.001653667935829439,-0.06629986670902999
4750000000,0.00174781625641196,-0.06753980275174294
4760000000,0.001845764916896142,-0.06877664311135936
4770000000,0.001947603013087829,-0.0700104544328829
